Score	HelpfulnessRatio	ReviewLength	UserReviewCount	ProductReviewCount	Positive
5	0.0	104	5	251	1
5	0.5	346	54	5	1
5	0.5	625	1	25	1
5	0.0	246	18	455	1
5	0.0	93	3	2	1
1	0.5	249	1	19	0
4	0.0	140	2	4	1
4	0.0	1224	26	66	1
5	0.7209302325581395	3643	21	132	1
5	0.5	896	1	14	1
5	0.0	134	20	112	1
3	0.3333333333333333	83	4	5	0
4	0.0	406	25	170	1
4	0.6666666666666666	232	6	43	1
5	0.0	192	1	13	1
5	0.7142857142857143	408	27	170	1
3	0.5	664	4	137	0
1	0.7272727272727273	827	1	39	0
5	0.0	834	1	7	1
5	0.8333333333333334	124	9	69	1
5	0.6666666666666666	1009	31	356	1
5	0.0	496	28	104	1
5	0.0	344	2	45	1
5	0.6666666666666666	109	2	49	1
5	0.5	674	1	114	1
5	0.5	220	1	1	1
4	0.0	104	4	193	1
5	0.0	223	1	89	1
3	0.6666666666666666	1315	30	362	0
2	0.7272727272727273	782	6	167	0
1	0.3333333333333333	778	2	4	0
5	0.5	544	6	119	1
1	0.0	518	31	288	0
5	0.75	195	6	7	1
5	0.0	222	6	1	1
4	0.5	555	1	6	1
5	0.5	412	1	7	1
5	0.6666666666666666	196	1	36	1
5	0.0	189	3	45	1
5	0.6666666666666666	161	1	3	1
2	0.0	345	1	1	0
5	0.5	167	4	5	1
4	0.0	134	9	172	1
3	0.5	457	9	564	0
5	0.0	111	4	251	1
5	0.0	153	1	3	1
5	0.0	201	1	2	1
4	0.0	393	2	7	1
5	0.6666666666666666	301	8	67	1
5	0.5	1278	6	192	1
5	0.0	975	12	174	1
5	0.0	1060	71	1	1
2	0.0	138	8	385	0
2	0.5	369	1	34	0
1	0.0	275	4	121	0
4	0.5	1119	60	6	1
3	0.0	378	1	23	0
5	0.8	304	1	5	1
5	0.5	291	3	257	1
5	0.6666666666666666	950	7	130	1
5	0.8	192	2	10	1
5	0.0	703	8	52	1
2	0.14285714285714285	905	10	55	0
5	0.5	161	1	15	1
5	0.0	786	3	21	1
5	0.3333333333333333	933	4	20	1
5	0.0	135	15	269	1
4	0.0	253	18	69	1
5	0.5	185	1	85	1
1	0.16666666666666666	275	4	5	0
5	0.0	137	11	413	1
1	0.0	558	4	13	0
5	0.6	739	1	34	1
4	0.0	119	6	254	1
2	0.3333333333333333	565	4	14	0
5	0.5	170	1	12	1
4	0.0	280	1	9	1
5	0.0	543	2	260	1
5	0.0	104	5	151	1
5	0.0	449	2	5	1
3	0.5	539	14	218	0
2	0.0	931	2	556	0
4	0.0	120	10	455	1
3	0.0	580	14	3	0
5	0.8571428571428571	218	1	55	1
5	0.0	151	2	2	1
4	0.0	271	3	86	1
5	0.5	169	2	9	1
4	0.0	181	2	85	1
5	0.0	350	5	3	1
1	0.0	540	1	2	0
1	0.9565217391304348	944	59	27	0
5	0.5	240	2	3	1
5	0.0	260	1	43	1
5	0.6	216	3	24	1
5	0.0	186	1	26	1
5	0.0	591	4	413	1
5	0.8333333333333334	537	7	57	1
5	0.0	620	6	86	1
5	0.8	203	4	413	1
5	0.0	1628	23	184	1
1	0.75	630	1	4	0
5	0.5	522	7	25	1
1	0.5384615384615384	848	1	215	0
1	0.8571428571428571	461	1	31	0
5	0.0	133	3	20	1
5	0.0	349	5	65	1
5	0.0	506	68	13	1
5	0.0	99	7	172	1
5	0.5	116	12	27	1
4	0.0	153	10	15	1
5	0.6	125	1	121	1
1	0.625	127	2	15	0
5	0.0	462	5	387	1
5	0.8947368421052632	535	1	39	1
5	0.9090909090909091	1049	6	19	1
2	0.6666666666666666	262	1	4	0
5	0.0	197	1	132	1
5	0.0	222	3	36	1
5	0.0	254	4	167	1
3	0.0	154	5	41	0
3	0.3333333333333333	777	11	564	0
5	0.0	439	30	232	1
5	0.0	133	25	150	1
1	0.0	176	12	11	0
5	0.0	597	1	117	1
5	0.6666666666666666	185	7	5	1
1	0.2857142857142857	484	9	29	0
5	0.5	297	1	102	1
5	0.5	83	4	15	1
5	0.0	174	1	7	1
5	0.0	109	5	13	1
1	0.0	264	1	64	0
3	0.0	482	12	387	0
5	0.0	202	27	4	1
5	0.0	758	135	2	1
4	0.0	678	90	172	1
5	0.75	301	6	1	1
5	0.0	171	1	12	1
4	0.6666666666666666	267	3	2	1
5	0.0	129	7	424	1
5	0.5	127	1	57	1
3	0.6666666666666666	1347	36	455	0
4	0.5	284	2	34	1
5	0.0	170	2	8	1
5	0.0	333	4	131	1
5	0.6666666666666666	316	1	1	1
5	0.0	842	2	65	1
5	0.6	205	3	159	1
5	0.0	700	19	15	1
5	0.0	929	1	31	1
1	0.5	555	1	118	0
5	0.3333333333333333	231	25	39	1
3	0.8611111111111112	307	2	71	0
5	0.6666666666666666	637	1	134	1
5	0.6666666666666666	749	3	118	1
5	0.0	208	10	103	1
5	0.6666666666666666	710	6	128	1
5	0.0	185	4	53	1
5	0.0	146	5	5	1
5	0.0	225	4	121	1
5	0.0	711	1	6	1
2	0.0	731	27	10	0
4	0.0	139	20	2	1
2	0.0	509	16	487	0
4	0.875	326	51	59	1
5	0.0	626	1	2	1
3	0.0	123	4	13	0
5	0.6666666666666666	1123	1	2	1
5	0.5	91	12	170	1
5	0.75	473	1	2	1
4	0.0	202	1	2	1
5	0.0	177	3	18	1
5	0.0	1138	44	38	1
5	0.5	913	2	143	1
1	0.5714285714285714	743	9	107	0
5	0.5	345	5	202	1
4	0.0	878	2	5	1
5	0.3333333333333333	1133	17	192	1
5	0.0	285	1	99	1
3	0.0	305	4	32	0
5	0.0	132	1	5	1
5	0.0	169	2	25	1
5	0.0	127	11	1	1
5	0.0	397	9	118	1
5	0.0	183	1	128	1
5	0.0	119	4	632	1
5	0.0	206	5	86	1
5	0.0	793	1	28	1
5	0.0	741	15	60	1
5	0.5	543	1	14	1
5	0.0	98	3	20	1
1	0.875	452	2	254	0
5	0.5	221	1	17	1
2	0.0	422	10	13	0
5	0.0	179	1	5	1
5	0.6666666666666666	164	8	24	1
1	0.0	65	10	33	0
5	0.6666666666666666	738	16	385	1
5	0.6666666666666666	490	2	6	1
5	0.5	155	1	6	1
5	0.0	192	6	147	1
3	0.8888888888888888	388	6	254	0
5	0.0	142	9	455	1
5	0.5	1345	7	206	1
5	0.0	225	5	332	1
2	0.5	1963	1	2	0
4	0.0	220	4	99	1
5	0.0	422	1	30	1
5	0.9	266	1	5	1
5	0.0	240	7	340	1
1	0.0	162	6	93	0
4	0.0	111	1	8	1
1	0.5	111	3	138	0
5	0.0	397	1	96	1
5	0.5	422	9	564	1
5	0.0	415	1	9	1
5	0.0	474	6	45	1
3	0.0	567	1	10	0
5	0.0	143	1	3	1
4	0.0	739	1	22	1
5	0.5	515	1	16	1
5	0.0	1039	1	7	1
5	0.0	334	4	37	1
4	0.0	135	1	64	1
1	0.0	576	16	116	0
5	0.0	173	1	1	1
2	0.0	720	11	165	0
5	0.0	237	48	385	1
5	0.75	163	27	170	1
5	0.6666666666666666	151	1	15	1
5	0.0	1851	7	1	1
3	0.0	588	10	913	0
4	0.0	139	1	1	1
5	0.0	230	4	202	1
5	0.0	79	1	27	1
5	0.8	248	36	9	1
5	0.0	190	2	13	1
4	0.0	259	1	26	1
4	0.0	643	2	60	1
1	0.0	131	1	9	0
5	0.0	275	3	324	1
5	0.0	1418	46	23	1
5	0.0	307	18	159	1
5	0.0	252	6	2	1
4	0.7142857142857143	1987	25	24	1
5	0.0	350	2	103	1
3	0.0	1525	55	292	0
2	0.125	351	10	219	0
2	0.5	386	2	94	0
3	0.375	1020	1	84	0
5	0.5	317	1	30	1
5	0.0	109	1	3	1
5	0.5	1176	33	13	1
4	0.0	748	15	184	1
5	0.0	161	4	66	1
4	0.6	527	85	356	1
4	0.9411764705882353	1030	4	56	1
5	0.0	450	15	6	1
5	0.0	1518	2	57	1
1	0.25	305	2	29	0
5	0.3333333333333333	843	1	23	1
5	0.5	540	3	5	1
4	0.5	93	1	23	1
5	0.0	288	1	1	1
5	0.5	339	11	564	1
4	0.875	739	2	19	1
4	0.5	149	2	7	1
1	0.0	138	4	138	0
5	0.0	329	3	22	1
1	0.5	1349	5	2	0
5	0.0	187	1	188	1
5	0.0	749	7	192	1
5	0.0	134	9	14	1
5	0.0	203	1	5	1
5	0.0	572	2	17	1
5	0.0	165	7	172	1
5	0.8333333333333334	822	12	5	1
1	0.0	85	2	81	0
5	0.5	581	2	26	1
2	0.0	156	7	43	0
4	0.0	398	1	6	1
3	0.0	880	44	15	0
5	0.0	231	4	542	1
5	0.75	184	1	97	1
5	0.5	82	3	7	1
5	0.0	134	4	167	1
5	0.0	2479	18	295	1
5	0.5	569	1	7	1
5	0.5	602	1	10	1
5	0.0	1134	421	3	1
5	0.0	554	1	48	1
4	0.5	124	2	2	1
5	0.5	1223	7	27	1
5	0.5	258	4	3	1
4	0.875	929	7	41	1
1	0.6666666666666666	1435	1	14	0
5	0.5	165	3	257	1
5	0.0	147	8	209	1
5	0.5	275	114	198	1
5	0.6666666666666666	363	1	28	1
5	0.5	553	5	54	1
3	0.2	1606	31	387	0
5	0.0	298	6	14	1
4	0.0	158	2	73	1
5	0.0	511	29	4	1
4	0.0	107	4	301	1
5	0.75	1844	2	72	1
5	0.0	669	60	133	1
4	0.5	146	12	206	1
5	0.925	448	1	190	1
4	0.6666666666666666	137	1	1	1
5	0.5	193	49	32	1
5	0.0	234	1	2	1
5	0.0	147	2	122	1
5	0.6666666666666666	399	1	25	1
5	0.0	420	89	11	1
3	0.6666666666666666	317	8	69	0
5	0.5	347	4	33	1
5	0.0	428	4	632	1
5	0.5	185	5	301	1
5	0.0	312	1	28	1
3	0.0	258	4	4	0
4	0.3333333333333333	86	1	15	1
5	0.5	426	1	7	1
4	0.0	519	42	91	1
1	0.6888888888888889	438	16	55	0
1	0.7857142857142857	1999	13	34	0
5	0.5	331	22	65	1
5	0.0	196	4	63	1
4	0.625	93	1	10	1
5	0.5	1607	1	8	1
5	0.0	151	11	242	1
5	0.0	388	12	324	1
5	0.5	470	1	35	1
4	0.75	146	7	16	1
4	0.0	237	162	1	1
5	0.0	251	1	15	1
2	0.0	250	1	22	0
1	0.0	1259	1	160	0
5	0.5	445	75	81	1
5	0.0	139	5	47	1
1	0.5	439	3	172	0
5	0.0	298	3	19	1
5	0.0	299	3	10	1
4	0.6666666666666666	342	25	332	1
1	0.8333333333333334	164	2	12	0
5	0.0	104	4	542	1
5	0.0	452	10	6	1
5	0.0	1438	7	9	1
5	0.6	838	1	7	1
5	0.0	133	1	3	1
4	0.0	196	1	3	1
5	0.0	877	2	206	1
5	0.5	471	3	8	1
5	0.5	335	1	29	1
5	0.97	611	1	26	1
5	0.0	432	3	206	1
1	0.75	1270	61	246	0
3	0.0	572	2	556	0
5	0.0	204	1	305	1
5	0.8333333333333334	542	10	10	1
1	0.6666666666666666	915	4	8	0
3	0.0	155	1	913	0
4	0.5	2250	6	5	1
1	0.4	201	6	202	0
1	0.5	1746	21	15	0
1	0.0	985	8	130	0
5	0.6666666666666666	2309	18	49	1
5	0.0	235	5	12	1
5	0.0	126	1	5	1
5	0.0	149	4	274	1
5	0.8	221	5	1	1
5	0.5	287	14	218	1
5	0.0	108	1	142	1
5	0.0	175	23	1	1
4	0.0	111	4	52	1
4	0.8333333333333334	169	28	170	1
5	0.0	99	1	11	1
5	0.5	257	2	22	1
5	0.0	383	1	43	1
5	0.0	127	1	1	1
3	0.0	161	1	1	0
1	0.5	2623	6	20	0
5	0.0	348	1	97	1
5	0.9523809523809523	885	12	107	1
5	0.0	286	13	385	1
5	0.0	219	1	142	1
5	0.25	220	24	479	1
4	0.6	508	21	218	1
5	0.0	152	14	174	1
5	0.0	149	9	173	1
5	0.6666666666666666	238	1	1	1
5	0.5	544	9	8	1
3	0.0	449	3	146	0
5	0.0	325	12	170	1
5	0.8888888888888888	535	4	389	1
5	0.0	114	2	1	1
2	0.0	1798	1	50	0
5	0.0	171	2	165	1
5	0.5	681	1	23	1
3	0.5	527	1	3	0
4	0.0	594	9	72	1
5	0.75	450	2	64	1
4	0.3333333333333333	262	20	274	1
4	0.75	116	1	40	1
4	0.0	458	1	78	1
1	0.6	397	2	159	0
3	0.6666666666666666	546	1	12	0
5	0.0	103	6	67	1
1	0.0	327	1	88	0
3	0.6666666666666666	1110	2	163	0
4	0.0	284	7	205	1
1	0.0	400	1	5	0
5	0.0	105	1	3	1
1	0.0	118	4	1	0
5	0.0	602	7	55	1
5	0.875	130	1	75	1
5	0.0	264	28	217	1
4	0.5	629	1	22	1
5	0.0	159	2	29	1
5	0.0	478	12	66	1
4	0.3333333333333333	522	10	18	1
5	0.6666666666666666	367	2	2	1
3	0.0	752	6	246	0
5	0.0	123	1	150	1
5	0.0	1741	3	387	1
5	0.0	135	1	47	1
5	0.0	688	19	178	1
5	0.0	124	6	119	1
2	0.0	1460	25	479	0
5	0.7777777777777778	145	5	542	1
5	0.0	536	23	28	1
5	0.0	265	6	242	1
1	0.6363636363636364	1267	1	124	0
5	0.0	362	9	173	1
5	0.0	239	1	14	1
5	0.9565217391304348	1544	2	114	1
1	0.6	318	7	74	0
5	0.0	445	10	413	1
5	0.5	94	1	3	1
5	0.0	1223	1	9	1
1	0.5294117647058824	273	6	54	0
3	0.0	963	16	195	0
4	0.0	874	1	25	1
5	0.0	835	1	285	1
5	0.0	118	1	1	1
5	0.0	126	1	3	1
3	0.0	285	25	174	0
5	0.5	126	11	564	1
4	0.0	329	4	78	1
4	0.0	377	3	25	1
5	0.0	110	1	4	1
3	0.0	1273	7	284	0
4	0.3333333333333333	418	10	387	1
5	0.0	543	2	18	1
5	0.0	813	9	98	1
5	0.3333333333333333	487	6	13	1
5	0.0	108	1	3	1
5	0.0	613	18	1	1
5	0.0	562	9	171	1
4	0.0	314	12	11	1
5	0.3333333333333333	485	4	2	1
5	0.5	168	8	37	1
2	0.0	667	5	3	0
5	0.5	756	3	6	1
4	0.6666666666666666	429	2	9	1
2	0.6666666666666666	1053	13	362	0
5	0.0	1250	2	4	1
4	0.0	131	5	202	1
4	0.5	323	34	58	1
5	0.0	133	14	217	1
5	0.0	446	4	22	1
5	0.8	1780	3	10	1
5	0.0	572	4	413	1
5	0.6666666666666666	493	1	21	1
5	0.8	458	1	3	1
5	0.3333333333333333	101	9	564	1
5	0.0	343	1	1	1
4	0.0	234	1	3	1
5	0.0	248	3	2	1
2	0.5	1032	1	190	0
5	0.0	141	4	413	1
5	0.0	510	27	564	1
4	0.0	708	1	1	1
5	0.0	228	10	17	1
3	0.5	199	2	49	0
5	0.0	207	10	192	1
5	0.0	183	1	97	1
5	0.5	409	3	159	1
5	0.9166666666666666	511	11	7	1
1	0.0	1325	3	34	0
5	0.5	241	2	6	1
2	0.0	219	4	5	0
5	0.0	284	1	1	1
5	0.0	168	2	209	1
3	0.0	684	1	1	0
3	0.0	330	2	57	0
2	0.0	172	25	178	0
1	0.4	304	17	21	0
5	0.0	141	6	116	1
5	0.0	408	2	17	1
5	0.5	934	4	413	1
5	0.5	227	1	1	1
5	0.0	195	3	2	1
4	0.0	836	1	5	1
5	0.0	256	1	28	1
4	0.0	336	2	9	1
5	0.8	546	9	151	1
3	0.5	434	3	138	0
5	0.0	184	3	30	1
1	0.6666666666666666	119	1	16	0
5	0.75	711	75	159	1
5	0.75	660	16	111	1
3	0.0	212	23	457	0
2	0.5	118	3	172	0
4	0.75	215	5	15	1
5	0.3333333333333333	418	3	32	1
5	0.6666666666666666	609	256	1	1
5	0.9230769230769231	1080	2	8	1
5	0.0	256	18	246	1
4	0.5	319	1	39	1
3	0.0	1444	8	118	0
1	0.25	606	1	3	0
5	0.0	133	4	114	1
5	0.75	416	1	12	1
5	0.75	383	1	8	1
5	0.5	331	51	10	1
4	0.0	335	2	12	1
4	0.0	134	1	46	1
5	0.8571428571428571	840	1	108	1
5	0.0	147	5	55	1
1	0.6	277	5	295	0
5	0.5	180	1	6	1
4	0.0	606	1	219	1
3	0.0	552	12	195	0
5	0.6	1216	75	26	1
1	0.5	133	5	192	0
5	0.0	140	8	385	1
1	0.0	356	6	144	0
4	0.0	165	21	193	1
5	0.0	657	1	1	1
5	0.3333333333333333	135	10	114	1
5	0.8	924	58	11	1
5	0.0	254	1	100	1
5	0.0	215	4	63	1
1	0.0	462	1	25	0
5	0.0	132	11	18	1
5	0.5	133	4	2	1
4	0.5	903	1	3	1
5	0.0	286	4	172	1
5	0.9696969696969697	630	2	93	1
3	0.0	1268	59	251	0
2	0.0	326	13	128	0
1	0.6842105263157895	129	1	3	0
3	0.3333333333333333	1068	7	17	0
5	0.0	278	107	2	1
5	0.0	1217	3	29	1
5	0.0	173	27	3	1
5	0.0	126	1	16	1
5	0.8	314	1	9	1
5	0.0	125	9	127	1
5	0.6666666666666666	395	28	109	1
5	0.8333333333333334	3533	7	204	1
5	0.6666666666666666	556	4	17	1
5	0.5	324	1	2	1
4	0.0	327	95	137	1
3	0.75	735	3	20	0
5	0.0	143	14	105	1
4	0.75	439	5	7	1
3	0.3333333333333333	335	6	58	0
5	0.0	217	3	2	1
3	0.5	158	13	242	0
5	0.6666666666666666	519	1	11	1
4	0.0	141	2	5	1
1	0.0	379	1	23	0
2	0.5	1080	7	172	0
4	0.0	261	70	1	1
5	0.5	683	1	1	1
5	0.0	162	1	30	1
4	0.0	506	54	293	1
5	0.0	92	9	455	1
3	0.0	143	6	67	0
4	0.9565217391304348	763	1	17	1
5	0.8888888888888888	1162	30	3	1
1	0.5	862	4	6	0
5	0.6666666666666666	353	5	10	1
5	0.5	276	9	30	1
4	0.5	562	12	107	1
5	0.6666666666666666	595	1	20	1
5	0.967741935483871	1359	4	204	1
5	0.3333333333333333	224	2	1	1
4	0.8571428571428571	392	3	2	1
4	0.5	1252	59	2	1
5	0.0	218	5	95	1
5	0.8	279	8	52	1
5	0.0	493	389	1	1
3	0.0	424	1	3	0
5	0.0	273	9	564	1
1	0.04	267	1	41	0
1	0.5	145	1	3	0
5	0.0	279	1	6	1
5	0.0	341	4	10	1
4	0.5	403	29	295	1
5	0.0	194	11	94	1
5	0.8	354	110	6	1
5	0.6666666666666666	136	26	170	1
2	0.0	272	1	12	0
4	0.7142857142857143	757	44	6	1
4	0.5	632	2	7	1
5	0.0	185	4	172	1
5	0.0	408	2	108	1
3	0.8787878787878788	783	4	285	0
3	0.0	448	1	6	0
5	0.6	376	6	2	1
5	0.5	225	5	5	1
1	0.0	161	5	4	0
5	0.8	312	6	12	1
5	0.5294117647058824	2194	5	57	1
4	0.0	566	1	11	1
3	0.5	554	1	1	0
5	0.5	101	1	12	1
5	0.5	236	4	340	1
5	0.0	167	4	35	1
5	0.0	846	17	80	1
5	0.0	125	20	105	1
1	0.0	132	2	11	0
5	0.5	93	1	28	1
1	0.7	492	6	324	0
1	0.5	1227	5	457	0
5	0.0	783	50	464	1
5	0.0	249	11	56	1
5	0.5	121	1	11	1
5	0.6666666666666666	223	14	217	1
5	0.3333333333333333	548	1	5	1
4	0.0	140	10	455	1
5	0.0	1033	448	1	1
5	0.0	326	4	1	1
5	0.75	390	1	1	1
4	0.0	160	9	385	1
4	0.5	142	5	23	1
5	0.0	189	9	455	1
5	0.75	764	23	159	1
3	0.0	90	12	78	0
5	0.0	360	6	16	1
3	0.25	853	98	32	0
1	0.0	193	12	117	0
5	0.0	121	12	174	1
1	0.0	2137	1	21	0
4	0.0	1390	15	288	1
1	0.4	2364	1	190	0
1	0.8181818181818182	187	5	28	0
4	0.5	220	3	542	1
5	0.8	348	21	3	1
5	0.0	520	33	302	1
5	0.0	143	1	75	1
5	0.16666666666666666	381	4	389	1
3	0.5	791	1	50	0
5	0.5	338	3	171	1
1	0.6666666666666666	483	1	31	0
1	0.5	442	1	11	0
5	0.0	292	1	913	1
5	0.8181818181818182	1085	5	9	1
5	0.7647058823529411	111	3	30	1
1	0.3333333333333333	228	1	9	0
5	0.0	531	19	6	1
5	0.0	838	1	5	1
5	0.0	670	2	41	1
2	0.0	269	7	251	0
5	0.875	381	9	173	1
5	0.8333333333333334	915	30	10	1
2	0.75	351	1	20	0
5	0.0	1492	22	479	1
5	0.75	437	14	60	1
2	0.5	171	1	3	0
5	0.5	634	13	78	1
4	0.5	330	3	12	1
5	0.0	347	1	40	1
5	0.3333333333333333	215	1	8	1
5	0.8333333333333334	149	2	11	1
3	0.0	265	3	11	0
5	0.9302325581395349	952	154	52	1
4	0.0	86	9	455	1
2	0.0	619	17	14	0
5	0.0	289	5	62	1
1	0.5	458	2	73	0
4	0.0	1919	8	38	1
1	0.5	346	1	112	0
5	0.0	177	1	10	1
5	0.3333333333333333	106	25	170	1
4	0.5	260	44	38	1
5	0.0	550	3	542	1
5	0.5	167	3	7	1
5	0.0	109	1	65	1
5	0.0	2785	21	35	1
1	0.0	277	2	2	0
5	0.8	281	2	9	1
4	0.0	236	29	105	1
5	0.5	83	5	387	1
5	0.0	384	11	144	1
5	0.0	159	1	107	1
5	0.0	286	2	276	1
5	0.8333333333333334	453	88	12	1
5	0.5	152	11	19	1
2	0.0	94	1	12	0
5	0.0	413	62	99	1
5	0.0	720	22	452	1
5	0.875	1407	154	8	1
3	0.0	1225	5	102	0
4	0.0	382	53	188	1
1	0.0	274	25	170	0
5	0.6666666666666666	141	3	41	1
1	0.0	123	3	4	0
2	0.6666666666666666	441	1	8	0
5	0.0	141	2	165	1
5	0.5	399	1	12	1
5	0.6666666666666666	639	9	25	1
5	0.3333333333333333	190	4	121	1
5	0.5	203	2	2	1
5	0.3333333333333333	598	3	41	1
3	0.5	1526	10	72	0
5	0.0	192	2	4	1
5	0.0	223	1	3	1
2	0.5	487	1	5	0
5	0.5	187	1	2	1
4	0.5	548	12	5	1
4	0.0	726	1	1	1
5	0.0	309	5	12	1
5	0.0	471	22	127	1
4	0.6666666666666666	134	1	2	1
4	0.0	309	1	26	1
5	0.5	215	2	49	1
5	0.0	377	12	93	1
5	0.5	716	5	38	1
5	0.0	106	14	126	1
4	0.5	358	1	8	1
5	0.0	116	2	251	1
3	0.0	368	36	4	0
5	0.6666666666666666	85	2	185	1
5	0.5	252	1	9	1
1	0.0	191	3	7	0
1	0.0	386	10	101	0
2	0.92	327	1	9	0
5	0.0	181	1	220	1
5	0.5	326	1	28	1
3	0.5	392	1	5	0
5	0.5	113	3	38	1
5	0.6666666666666666	108	4	172	1
5	0.5	619	4	38	1
1	0.6	320	1	3	0
5	0.8333333333333334	1361	24	38	1
1	0.2	324	1	4	0
5	0.5	157	1	2	1
5	0.0	555	4	632	1
4	0.3333333333333333	1060	1	166	1
1	0.0	824	12	288	0
3	0.0	283	3	257	0
5	0.0	108	1	1	1
5	0.25	142	1	623	1
5	0.5	155	4	340	1
3	0.6666666666666666	146	3	159	0
5	0.0	183	14	172	1
4	0.6666666666666666	1126	3	4	1
4	0.75	408	1	3	1
5	0.5	171	1	2	1
5	0.5	149	1	2	1
5	0.0	700	20	332	1
5	0.5	159	5	149	1
1	0.5	308	2	82	0
1	0.0	318	1	3	0
5	0.5	413	26	170	1
5	0.5	307	1	11	1
2	0.4166666666666667	465	1	35	0
3	0.125	106	3	63	0
2	0.4782608695652174	1797	11	46	0
5	0.0	191	8	385	1
5	0.5	779	16	103	1
5	0.0	1201	7	10	1
3	0.0	193	5	6	0
5	0.0	153	1	35	1
4	0.0	494	1	13	1
5	0.5	346	18	5	1
5	0.0	299	3	389	1
4	0.5	142	9	10	1
5	0.75	196	7	310	1
5	0.0	317	1	1	1
4	0.0	143	1	80	1
4	0.0	224	2	17	1
5	0.0	598	1	320	1
2	0.0	672	6	19	0
5	0.0	298	2	59	1
1	0.6666666666666666	443	14	218	0
3	0.6	272	5	332	0
4	0.0	263	5	35	1
2	0.3333333333333333	62	26	101	0
5	0.7142857142857143	164	9	57	1
3	0.25	273	6	19	0
4	0.0	242	19	19	1
1	0.25	737	1	190	0
5	0.0	159	4	23	1
2	0.0	262	12	67	0
1	0.42857142857142855	571	1	5	0
5	0.5	221	1	4	1
1	0.5	445	4	61	0
5	0.0	125	1	14	1
5	0.5	203	3	24	1
5	0.0	531	4	5	1
5	0.5	239	1	3	1
5	0.0	247	3	9	1
2	0.6666666666666666	577	21	109	0
5	0.0	373	1	1	1
5	0.0	127	1	17	1
4	0.0	86	1	1	1
