recode,yob,year,smsa,agesq,annwage,ind,occ,marchwt,state,metcode,division,race,age,vet,weeks,marital,class,esr,hrslw,hrsly,higratt,higrcomp,wageflag,esrflag,age2,educ,veteran,black,other,city,balsmsa,spsepres,lott1,lott2,lott3,lott4,lott5,lott6,lott7,lott8,lott9,lott10,lott11,lott12,lott13,college,someco,yr81,yr82,yr83,yr84,yr85,yob44,yob45,yob46,yob47,yob48,yob49,yob50,yob51,yob52,yob53,neweng,midatl,eastnth,westnth,sthatl,eaststh,weststh,mount,pacific
12,46,79,0.0,1089.0,9022.0,448.0,552.0,102166.0,74.0,1.0,7.0,1.0,33.0,1.0,52.0,1.0,1.0,3.0,0.0,40.0,14.0,2.0,0.0,0.0,33,12,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,51,79,0.0,729.0,11000.0,408.0,703.0,112670.0,74.0,1.0,7.0,1.0,27.0,6.0,52.0,6.0,4.0,1.0,40.0,40.0,16.0,2.0,3.0,0.0,28,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4,49,79,0.0,841.0,12000.0,317.0,674.0,77856.0,74.0,2.0,7.0,1.0,29.0,5.0,52.0,1.0,1.0,1.0,56.0,48.0,13.0,1.0,0.0,0.0,30,12,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,50,79,0.0,784.0,11000.0,158.0,481.0,77856.0,74.0,2.0,7.0,1.0,28.0,6.0,52.0,1.0,1.0,1.0,40.0,40.0,10.0,1.0,0.0,0.0,29,9,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
14,52,79,0.0,729.0,6611.0,587.0,715.0,84487.0,59.0,2.0,5.0,1.0,27.0,5.0,48.0,1.0,1.0,7.0,0.0,45.0,13.0,1.0,0.0,0.0,27,12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
9,48,79,0.0,900.0,7500.0,0.0,0.0,160107.0,58.0,1.0,5.0,1.0,30.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,31,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,47,79,0.0,961.0,10000.0,317.0,620.0,84339.0,74.0,3.0,7.0,1.0,31.0,1.0,52.0,1.0,1.0,1.0,40.0,48.0,13.0,1.0,0.0,0.0,32,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,53,79,0.0,676.0,11000.0,469.0,482.0,80203.0,74.0,3.0,7.0,1.0,26.0,6.0,52.0,1.0,1.0,1.0,40.0,40.0,13.0,2.0,0.0,0.0,26,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
11,44,79,0.0,1225.0,11900.0,77.0,436.0,94766.0,74.0,3.0,7.0,1.0,35.0,6.0,52.0,1.0,1.0,3.0,0.0,45.0,13.0,2.0,0.0,0.0,35,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,53,79,0.0,625.0,6200.0,268.0,694.0,26135.0,51.0,4.0,5.0,1.0,25.0,6.0,52.0,1.0,1.0,1.0,40.0,40.0,13.0,2.0,0.0,0.0,26,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,51,79,0.0,729.0,14585.0,118.0,780.0,90980.0,91.0,1.0,9.0,1.0,27.0,6.0,52.0,1.0,1.0,1.0,30.0,40.0,13.0,1.0,3.0,0.0,28,12,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,44,79,6920.0,1156.0,28000.0,879.0,245.0,70369.0,93.0,1.0,9.0,1.0,34.0,6.0,52.0,1.0,1.0,1.0,50.0,50.0,17.0,1.0,0.0,0.0,35,16,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,50,79,6920.0,784.0,9014.0,648.0,623.0,88106.0,93.0,2.0,9.0,1.0,28.0,6.0,52.0,8.0,1.0,1.0,40.0,40.0,13.0,1.0,0.0,0.0,29,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
11,53,79,6920.0,625.0,4500.0,757.0,623.0,82851.0,93.0,2.0,9.0,1.0,25.0,6.0,37.0,1.0,1.0,3.0,0.0,40.0,12.0,1.0,0.0,0.0,26,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10,51,79,7320.0,729.0,15000.0,69.0,520.0,70468.0,93.0,2.0,9.0,1.0,27.0,1.0,40.0,1.0,1.0,1.0,40.0,40.0,14.0,2.0,0.0,0.0,28,12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,48,79,0.0,900.0,18900.0,447.0,193.0,106563.0,86.0,4.0,8.0,1.0,30.0,6.0,52.0,1.0,1.0,1.0,53.0,48.0,17.0,1.0,0.0,0.0,31,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,51,79,0.0,729.0,20000.0,448.0,554.0,68021.0,93.0,1.0,9.0,1.0,27.0,6.0,52.0,8.0,1.0,1.0,40.0,40.0,16.0,1.0,0.0,0.0,28,15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
12,48,79,0.0,900.0,11030.0,179.0,690.0,27591.0,87.0,4.0,8.0,1.0,30.0,6.0,49.0,1.0,1.0,1.0,40.0,48.0,10.0,1.0,2.0,0.0,31,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,47,79,0.0,961.0,10000.0,158.0,695.0,39981.0,85.0,4.0,8.0,1.0,31.0,1.0,52.0,1.0,1.0,1.0,40.0,40.0,13.0,1.0,0.0,0.0,32,12,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,53,79,360.0,625.0,9500.0,118.0,602.0,61620.0,93.0,1.0,9.0,1.0,25.0,6.0,26.0,1.0,1.0,3.0,0.0,60.0,7.0,1.0,0.0,0.0,26,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,50,79,360.0,784.0,10500.0,118.0,621.0,69047.0,93.0,1.0,9.0,1.0,28.0,6.0,52.0,4.0,1.0,1.0,40.0,40.0,7.0,1.0,0.0,0.0,29,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5,47,79,0.0,961.0,18000.0,139.0,680.0,10254.0,83.0,3.0,8.0,1.0,31.0,1.0,52.0,1.0,1.0,1.0,40.0,44.0,13.0,1.0,0.0,0.0,32,12,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,45,79,4480.0,1156.0,11319.0,118.0,602.0,63800.0,93.0,2.0,9.0,1.0,34.0,6.0,48.0,1.0,1.0,1.0,48.0,40.0,4.0,1.0,0.0,0.0,34,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,51,79,4480.0,676.0,8840.0,227.0,692.0,62078.0,93.0,2.0,9.0,1.0,26.0,6.0,52.0,1.0,1.0,1.0,40.0,40.0,4.0,1.0,0.0,0.0,28,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,45,79,4480.0,1089.0,8070.0,197.0,602.0,63800.0,93.0,2.0,9.0,1.0,33.0,6.0,52.0,1.0,1.0,1.0,40.0,40.0,5.0,1.0,0.0,0.0,34,4,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,53,79,4480.0,625.0,13440.0,359.0,690.0,62102.0,93.0,2.0,9.0,1.0,25.0,6.0,52.0,1.0,1.0,1.0,40.0,40.0,14.0,1.0,0.0,0.0,26,13,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
14,52,79,4480.0,676.0,8577.0,157.0,152.0,63532.0,93.0,2.0,9.0,1.0,26.0,6.0,35.0,1.0,1.0,3.0,0.0,40.0,15.0,1.0,0.0,0.0,27,14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4,52,79,4480.0,676.0,3118.0,757.0,473.0,62102.0,93.0,2.0,9.0,1.0,26.0,6.0,24.0,1.0,1.0,2.0,0.0,43.0,7.0,1.0,0.0,0.0,27,6,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
9,48,79,4480.0,900.0,7280.0,539.0,690.0,99815.0,93.0,2.0,9.0,1.0,30.0,6.0,52.0,4.0,1.0,1.0,40.0,40.0,4.0,1.0,0.0,0.0,31,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,49,79,4480.0,841.0,11000.0,109.0,715.0,62078.0,93.0,2.0,9.0,1.0,29.0,6.0,52.0,1.0,1.0,1.0,40.0,40.0,5.0,1.0,0.0,0.0,30,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,50,79,,,,,,,,,,,,,,,,,,,,,,,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,47,79,4480.0,961.0,16000.0,708.0,202.0,62102.0,93.0,2.0,9.0,1.0,31.0,1.0,52.0,1.0,1.0,1.0,40.0,40.0,13.0,1.0,0.0,0.0,32,12,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,48,79,0.0,900.0,2500.0,769.0,755.0,36242.0,85.0,3.0,8.0,1.0,30.0,6.0,50.0,1.0,1.0,1.0,12.0,40.0,10.0,2.0,0.0,0.0,31,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,51,79,0.0,729.0,7000.0,639.0,903.0,37999.0,85.0,3.0,8.0,1.0,27.0,6.0,52.0,8.0,1.0,1.0,40.0,40.0,13.0,1.0,2.0,0.0,28,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8,49,79,0.0,900.0,12442.0,897.0,962.0,33540.0,85.0,3.0,8.0,1.0,30.0,5.0,52.0,1.0,2.0,1.0,52.0,44.0,14.0,2.0,0.0,0.0,30,12,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,53,79,0.0,625.0,3640.0,17.0,822.0,88349.0,93.0,3.0,9.0,1.0,25.0,1.0,28.0,1.0,1.0,3.0,0.0,40.0,11.0,2.0,0.0,0.0,26,9,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5,51,79,0.0,729.0,7000.0,17.0,822.0,101113.0,93.0,3.0,9.0,1.0,27.0,6.0,43.0,8.0,1.0,1.0,20.0,30.0,7.0,1.0,0.0,0.0,28,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,50,79,0.0,784.0,17000.0,628.0,381.0,91126.0,93.0,3.0,9.0,1.0,28.0,1.0,52.0,1.0,1.0,1.0,40.0,40.0,14.0,1.0,0.0,0.0,29,13,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
13,49,79,0.0,841.0,13216.0,49.0,640.0,6733.0,94.0,3.0,9.0,1.0,29.0,1.0,52.0,1.0,1.0,1.0,70.0,40.0,13.0,1.0,3.0,0.0,30,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,46,79,0.0,1024.0,0.0,0.0,0.0,60259.0,23.0,1.0,2.0,1.0,32.0,6.0,0.0,1.0,0.0,7.0,0.0,0.0,11.0,1.0,0.0,0.0,33,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,49,79,5600.0,841.0,6500.0,937.0,755.0,99148.0,21.0,1.0,2.0,1.0,29.0,6.0,52.0,8.0,4.0,1.0,24.0,47.0,13.0,1.0,1.0,0.0,30,12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,48,79,5600.0,841.0,6800.0,669.0,913.0,76489.0,21.0,1.0,2.0,1.0,29.0,6.0,52.0,1.0,1.0,1.0,40.0,40.0,7.0,1.0,0.0,0.0,31,6,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,49,79,0.0,841.0,16000.0,927.0,222.0,121453.0,23.0,2.0,2.0,1.0,29.0,6.0,52.0,7.0,3.0,1.0,38.0,38.0,17.0,1.0,0.0,0.0,30,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4,51,79,5600.0,729.0,6606.0,728.0,902.0,86648.0,21.0,1.0,2.0,1.0,27.0,1.0,39.0,1.0,1.0,1.0,40.0,45.0,13.0,1.0,1.0,0.0,28,12,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7,46,79,5600.0,1024.0,20000.0,158.0,535.0,86853.0,21.0,1.0,2.0,1.0,32.0,6.0,52.0,1.0,1.0,1.0,35.0,35.0,13.0,1.0,0.0,0.0,33,12,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,53,79,5600.0,625.0,10082.0,838.0,481.0,77492.0,21.0,1.0,2.0,1.0,25.0,6.0,52.0,1.0,4.0,1.0,35.0,35.0,15.0,2.0,0.0,0.0,26,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
9,45,79,0.0,1225.0,0.0,779.0,611.0,82457.0,21.0,2.0,2.0,1.0,35.0,6.0,52.0,1.0,6.0,1.0,40.0,40.0,12.0,1.0,0.0,0.0,34,11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,46,79,0.0,961.0,21000.0,448.0,552.0,100159.0,21.0,3.0,2.0,1.0,31.0,1.0,52.0,1.0,1.0,1.0,40.0,40.0,14.0,1.0,0.0,0.0,33,13,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,48,79,1600.0,900.0,7280.0,259.0,692.0,105538.0,33.0,1.0,3.0,1.0,30.0,6.0,52.0,1.0,1.0,1.0,52.0,40.0,7.0,1.0,0.0,0.0,31,6,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,50,79,2160.0,841.0,18554.0,427.0,764.0,64581.0,34.0,2.0,3.0,1.0,29.0,6.0,52.0,1.0,1.0,1.0,44.0,40.0,14.0,2.0,0.0,0.0,29,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3,49,79,0.0,841.0,9950.0,408.0,315.0,70026.0,46.0,1.0,4.0,1.0,29.0,6.0,52.0,8.0,4.0,1.0,40.0,40.0,14.0,2.0,0.0,0.0,30,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5,49,79,0.0,900.0,4500.0,387.0,690.0,94895.0,46.0,4.0,4.0,1.0,30.0,6.0,52.0,8.0,1.0,1.0,60.0,50.0,14.0,2.0,1.0,0.0,30,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12,46,79,0.0,1024.0,2400.0,607.0,415.0,32848.0,46.0,4.0,4.0,1.0,32.0,6.0,52.0,1.0,1.0,1.0,30.0,40.0,11.0,1.0,0.0,0.0,33,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,49,79,1600.0,841.0,20000.0,139.0,15.0,80184.0,33.0,2.0,3.0,1.0,29.0,6.0,52.0,1.0,1.0,1.0,40.0,40.0,17.0,1.0,0.0,0.0,30,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
