training	age	education	black	hispanic	married	no_degree	re74	re75	re78
0.0	23.0	11.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
0.0	50.0	12.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
0.0	23.0	11.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
0.0	23.0	12.0	1.0	0.0	0.0	0.0	0.0	0.0	4728.725
0.0	21.0	13.0	0.0	0.0	0.0	0.0	0.0	692.85484	2659.9078
0.0	23.0	14.0	0.0	0.0	0.0	0.0	0.0	3401.6129	5319.8157
0.0	25.0	12.0	1.0	0.0	1.0	0.0	0.0	21483.871	1220.6022
0.0	43.0	3.0	1.0	0.0	1.0	1.0	17.633401	0.0	0.0
0.0	52.0	6.0	1.0	0.0	1.0	1.0	235.11202	1246.0645	1477.7266
0.0	54.0	8.0	0.0	0.0	1.0	1.0	293.89002	537.09677	295.54531
0.0	52.0	7.0	1.0	0.0	0.0	1.0	293.89002	5012.9032	0.0
0.0	24.0	12.0	1.0	0.0	0.0	0.0	783.70672	0.0	10344.086
0.0	22.0	13.0	0.0	0.0	0.0	0.0	783.70672	0.0	2305.2535
0.0	23.0	12.0	1.0	0.0	0.0	0.0	1077.5967	3222.5806	5910.9063
0.0	22.0	12.0	1.0	0.0	1.0	0.0	1269.6049	0.0	0.0
0.0	24.0	17.0	0.0	0.0	1.0	0.0	1371.4868	0.0	24825.806
0.0	31.0	6.0	1.0	0.0	0.0	1.0	1410.6721	555.0	16059.932
0.0	27.0	16.0	0.0	0.0	1.0	0.0	1469.4501	1253.2258	4363.7266
0.0	19.0	11.0	1.0	0.0	0.0	1.0	1567.4134	0.0	0.0
0.0	35.0	9.0	1.0	0.0	0.0	1.0	1567.4134	5370.9677	5910.9063
0.0	21.0	12.0	1.0	0.0	0.0	0.0	1959.2668	5460.4839	1152.6267
0.0	22.0	12.0	1.0	0.0	1.0	0.0	2006.2892	2470.6452	0.0
0.0	23.0	13.0	0.0	0.0	1.0	0.0	2155.1935	5370.9677	11378.495
0.0	19.0	14.0	0.0	0.0	0.0	0.0	2938.9002	3222.5806	0.0
0.0	40.0	4.0	1.0	0.0	0.0	1.0	2962.4114	1933.5484	1034.4086
0.0	22.0	9.0	1.0	0.0	0.0	1.0	3134.8269	4345.1129	13299.539
0.0	23.0	15.0	0.0	0.0	1.0	0.0	3320.9572	2506.4516	9974.6544
0.0	19.0	6.0	1.0	0.0	0.0	1.0	3526.6802	0.0	0.0
0.0	27.0	15.0	0.0	0.0	1.0	0.0	3722.6069	4654.8387	19210.445
0.0	27.0	12.0	1.0	0.0	1.0	0.0	3918.5336	1994.4194	17732.719
0.0	43.0	10.0	1.0	0.0	1.0	1.0	3918.5336	2148.3871	0.0
0.0	20.0	12.0	0.0	0.0	0.0	0.0	4811.9593	716.12903	0.0
0.0	52.0	12.0	0.0	0.0	1.0	0.0	4898.167	0.0	0.0
0.0	24.0	11.0	1.0	0.0	1.0	1.0	5427.169	0.0	1329.9539
0.0	38.0	10.0	1.0	0.0	1.0	1.0	5877.8004	0.0	0.0
0.0	24.0	9.0	1.0	0.0	0.0	1.0	5877.8004	5370.9677	13299.539
0.0	32.0	11.0	1.0	0.0	1.0	1.0	6524.3585	0.0	930.96774
0.0	22.0	13.0	0.0	0.0	0.0	0.0	6857.4338	6266.129	17363.287
0.0	21.0	14.0	0.0	0.0	1.0	0.0	6974.9898	11407.935	17141.628
0.0	29.0	10.0	0.0	0.0	1.0	1.0	7347.2505	0.0	0.0
0.0	54.0	12.0	0.0	0.0	1.0	0.0	7445.2138	0.0	0.0
0.0	33.0	13.0	0.0	0.0	0.0	0.0	7837.0672	3580.6452	16254.992
0.0	27.0	11.0	1.0	0.0	1.0	1.0	7837.0672	5370.9677	7388.6329
0.0	21.0	11.0	1.0	0.0	1.0	1.0	8032.9939	4848.1935	8570.8141
0.0	54.0	6.0	1.0	0.0	1.0	1.0	8354.3136	0.0	0.0
0.0	23.0	9.0	0.0	0.0	1.0	1.0	9012.6273	0.0	14777.266
0.0	24.0	12.0	0.0	0.0	1.0	0.0	9371.1731	2864.5161	2216.5899
0.0	20.0	13.0	0.0	1.0	0.0	0.0	9404.4807	0.0	8275.2688
0.0	26.0	12.0	0.0	0.0	1.0	0.0	9561.222	0.0	13299.539
0.0	27.0	12.0	1.0	0.0	1.0	0.0	9796.334	0.0	11821.813
0.0	29.0	12.0	1.0	0.0	1.0	0.0	9796.334	12532.258	19210.445
0.0	32.0	10.0	1.0	0.0	0.0	1.0	10188.187	8951.6129	0.0
0.0	47.0	8.0	0.0	1.0	1.0	1.0	10286.151	7161.2903	1477.7266
0.0	26.0	12.0	1.0	0.0	1.0	0.0	11167.821	1074.1935	8866.3594
0.0	43.0	12.0	0.0	0.0	1.0	0.0	11755.601	0.0	295.54531
0.0	34.0	11.0	1.0	0.0	0.0	1.0	11755.601	2148.3871	15516.129
0.0	53.0	12.0	0.0	0.0	1.0	0.0	11755.601	9893.3226	5172.043
0.0	42.0	13.0	0.0	0.0	1.0	0.0	13701.153	0.0	33987.711
0.0	22.0	12.0	1.0	0.0	1.0	0.0	13714.868	0.0	664.97696
0.0	47.0	12.0	0.0	0.0	1.0	0.0	13714.868	0.0	12560.676
0.0	26.0	12.0	0.0	0.0	1.0	0.0	13714.868	716.12903	22904.762
0.0	53.0	5.0	1.0	0.0	1.0	1.0	14008.758	2660.4194	11082.949
0.0	54.0	8.0	0.0	1.0	1.0	1.0	14302.648	0.0	8866.3594
0.0	54.0	8.0	0.0	1.0	1.0	1.0	14302.648	0.0	8866.3594
0.0	37.0	13.0	0.0	0.0	1.0	0.0	14694.501	8951.6129	17732.719
0.0	49.0	8.0	0.0	1.0	0.0	1.0	15674.134	1074.1935	0.0
0.0	21.0	13.0	0.0	0.0	0.0	0.0	15674.134	4946.6613	1733.3733
0.0	18.0	10.0	0.0	1.0	1.0	1.0	15674.134	10741.935	20688.172
0.0	54.0	12.0	0.0	0.0	1.0	0.0	15674.134	25064.516	0.0
0.0	54.0	12.0	0.0	0.0	1.0	0.0	15674.134	25064.516	0.0
0.0	53.0	4.0	1.0	0.0	1.0	1.0	16142.399	984.67742	0.0
0.0	45.0	4.0	0.0	1.0	1.0	1.0	16261.914	28108.065	28076.805
0.0	25.0	12.0	0.0	0.0	1.0	0.0	16653.768	12181.355	17732.719
0.0	46.0	10.0	0.0	1.0	1.0	1.0	17633.401	10741.935	5910.9063
0.0	26.0	12.0	0.0	1.0	1.0	0.0	19055.829	0.0	13299.539
0.0	21.0	12.0	1.0	0.0	0.0	0.0	19592.668	716.12903	22165.899
0.0	48.0	10.0	0.0	0.0	1.0	1.0	23511.202	2864.5161	0.0
0.0	46.0	12.0	0.0	0.0	0.0	0.0	23918.729	12532.258	0.0
0.0	26.0	16.0	0.0	0.0	0.0	0.0	24490.835	27750.0	9605.2227
0.0	48.0	8.0	0.0	0.0	1.0	1.0	25470.468	0.0	13299.539
0.0	50.0	12.0	0.0	0.0	1.0	0.0	26254.175	0.0	0.0
0.0	41.0	13.0	0.0	0.0	0.0	0.0	29389.002	0.0	30293.395
